champ,change
Aatrox,no change
Ahri,no change
Akali,no change
Akshan,no change
Alistar,no change
Amumu,no change
Anivia,no change
Annie,no change
Aphelios,tweak
Ashe,no change
Aurelion Sol,no change
Azir,no change
Bard,no change
Blitzcrank,no change
Brand,no change
Braum,no change
Caitlyn,no change
Camille,no change
Cassiopeia,no change
Cho'Gath,no change
Corki,no change
Darius,no change
Diana,no change
Dr. Mundo,tweak
Draven,buff
Ekko,no change
Elise,no change
Evelynn,no change
Ezreal,no change
Fiddlesticks,no change
Fiora,no change
Fizz,no change
Galio,no change
Gangplank,no change
Garen,no change
Gnar,nerf
Gragas,no change
Graves,no change
Gwen,no change
Hecarim,buff
Heimerdinger,no change
Illaoi,buff
Irelia,no change
Ivern,no change
Janna,no change
Jarvan IV,buff
Jax,no change
Jayce,no change
Jhin,no change
Jinx,no change
Kai'Sa,no change
Kalista,no change
Karma,no change
Karthus,no change
Kassadin,no change
Katarina,no change
Kayle,no change
Kayn,no change
Kennen,no change
Kha'Zix,no change
Kindred,no change
Kled,no change
Kog'Maw,no change
LeBlanc,no change
Lee Sin,no change
Leona,no change
Lillia,no change
Lissandra,no change
Lucian,no change
Lulu,no change
Lux,no change
Malphite,buff
Malzahar,no change
Maokai,no change
Master Yi,no change
Miss Fortune,no change
Mordekaiser,no change
Morgana,no change
Nami,no change
Nasus,nerf
Nautilus,no change
Neeko,no change
Nidalee,no change
Nocturne,no change
Nunu,no change
Olaf,no change
Orianna,no change
Ornn,no change
Pantheon,no change
Poppy,no change
Pyke,no change
Qiyana,no change
Quinn,no change
Rakan,no change
Rammus,buff
Rek'Sai,no change
Rell,no change
Renekton,nerf
Rengar,no change
Riven,no change
Rumble,no change
Ryze,no change
Samira,no change
Sejuani,no change
Senna,no change
Seraphine,no change
Sett,no change
Shaco,no change
Shen,no change
Shyvana,no change
Singed,no change
Sion,no change
Sivir,no change
Skarner,no change
Sona,no change
Soraka,no change
Swain,no change
Sylas,no change
Syndra,no change
Tahm Kench,no change
Taliyah,no change
Talon,tweak
Taric,no change
Teemo,no change
Thresh,no change
Tristana,no change
Trundle,no change
Tryndamere,no change
Twisted Fate,no change
Twitch,no change
Udyr,nerf
Urgot,no change
Varus,nerf
Vayne,no change
Veigar,no change
Vel'Koz,no change
Vi,no change
Viego,no change
Viktor,no change
Vladimir,no change
Volibear,no change
Warwick,no change
Wukong,nerf
Xayah,no change
Xerath,no change
Xin Zhao,no change
Yasuo,no change
Yone,no change
Yorick,no change
Yuumi,no change
Zac,no change
Zed,no change
Ziggs,buff
Zilean,no change
Zoe,no change
Zyra,no change
