champ,role,winrate,banrate,pickrate,change
Aatrox,TOP,48.17,4.48,4.68,no change
Aatrox,MID,51.78,4.48,0.56,no change
Ahri,MID,50.29,1.89,5.27,no change
Akali,MID,48.79,17.27,9.91,no change
Akali,TOP,48.66,17.27,3.57,no change
Alistar,SUPPORT,50.76,2.9,6.28,no change
Amumu,JUNGLE,54.35,1.28,4.37,no change
Anivia,MID,51.49,3.13,2.6,no change
Anivia,SUPPORT,47.02,3.13,0.44,no change
Annie,MID,52.64,1.46,2.54,no change
Annie,SUPPORT,49.87,1.46,0.34,no change
Aphelios,ADC,45.74,0.87,2.49,no change
Ashe,ADC,50.34,1.66,9.42,no change
Aurelion Sol,MID,50.39,0.2,0.59,no change
Azir,MID,43.88,0.16,0.93,buff
Bard,SUPPORT,48.91,0.4,2.52,no change
Blitzcrank,SUPPORT,50.31,15.86,7.15,no change
Brand,SUPPORT,51.52,9.89,5.97,no change
Brand,MID,52.17,9.89,1.27,no change
Braum,SUPPORT,50.49,0.45,2.48,no change
Caitlyn,ADC,49.0,8.77,13.22,no change
Camille,TOP,49.38,2.11,3.21,no change
Cassiopeia,MID,48.49,0.93,1.44,no change
Cassiopeia,TOP,49.0,0.93,0.26,no change
Cho'Gath,TOP,52.07,2.39,3.99,no change
Cho'Gath,MID,51.94,2.39,0.71,no change
Corki,MID,51.94,0.3,1.19,no change
Darius,TOP,48.66,34.58,6.98,no change
Diana,JUNGLE,51.72,22.19,8.48,no change
Diana,MID,52.12,22.19,4.46,no change
Dr. Mundo,TOP,52.28,2.44,1.42,no change
Dr. Mundo,JUNGLE,52.07,2.44,2.22,no change
Draven,ADC,48.52,3.43,3.42,no change
Ekko,MID,50.76,3.62,3.64,no change
Ekko,JUNGLE,50.28,3.62,4.24,no change
Elise,JUNGLE,50.23,8.17,3.91,nerf
Evelynn,JUNGLE,49.63,5.84,4.09,no change
Ezreal,ADC,47.11,3.43,16.38,buff
Fiddlesticks,JUNGLE,50.99,2.45,3.75,no change
Fiora,TOP,49.05,5.54,3.9,no change
Fizz,MID,50.51,10.86,4.2,no change
Galio,MID,51.4,1.8,2.86,no change
Galio,SUPPORT,49.68,1.8,2.51,no change
Gangplank,TOP,45.57,1.18,2.7,no change
Gangplank,MID,46.37,1.18,0.58,no change
Garen,TOP,51.64,6.84,7.9,no change
Garen,MID,54.01,6.84,1.04,no change
Gnar,TOP,49.58,4.52,4.9,no change
Gragas,JUNGLE,47.68,0.28,1.5,no change
Gragas,SUPPORT,46.21,0.28,0.38,no change
Gragas,TOP,46.09,0.28,0.34,no change
Graves,JUNGLE,46.09,1.53,3.02,buff
Gwen,TOP,48.42,14.58,3.75,no change
Gwen,MID,48.39,14.58,1.26,no change
Gwen,JUNGLE,47.82,14.58,1.24,no change
Hecarim,JUNGLE,46.14,4.88,2.65,buff
Heimerdinger,MID,51.49,1.49,1.17,no change
Heimerdinger,TOP,49.13,1.49,0.96,no change
Heimerdinger,ADC,52.29,1.49,0.27,no change
Illaoi,TOP,49.49,5.93,2.76,no change
Irelia,TOP,46.43,10.92,5.14,no change
Irelia,MID,46.38,10.92,3.88,no change
Ivern,JUNGLE,48.22,0.27,0.9,no change
Janna,SUPPORT,50.21,0.19,2.85,no change
Jarvan IV,JUNGLE,49.48,0.19,1.87,no change
Jax,TOP,49.43,4.2,4.38,no change
Jax,JUNGLE,50.0,4.2,1.91,no change
Jayce,MID,49.96,0.84,0.91,no change
Jayce,TOP,47.18,0.84,2.42,no change
Jhin,ADC,51.38,6.33,16.64,no change
Jinx,ADC,49.99,6.31,15.58,no change
Kai'Sa,ADC,49.49,9.73,21.35,no change
Kalista,ADC,46.06,0.47,1.5,no change
Kalista,TOP,44.2,0.47,0.3,no change
Karma,SUPPORT,47.26,0.6,4.39,no change
Karthus,MID,50.61,0.51,0.21,no change
Karthus,JUNGLE,49.64,0.51,1.22,no change
Kassadin,MID,48.11,4.4,2.85,no change
Katarina,MID,50.16,13.42,8.97,no change
Kayle,TOP,51.92,1.81,4.84,no change
Kayle,MID,54.34,1.81,1.17,no change
Kayn,JUNGLE,50.24,10.1,11.7,no change
