champ,change
Aatrox,no change
Ahri,no change
Akali,no change
Akshan,no change
Alistar,no change
Amumu,no change
Anivia,nerf
Annie,no change
Aphelios,no change
Ashe,no change
Aurelion Sol,no change
Azir,no change
Bard,no change
Blitzcrank,no change
Brand,no change
Braum,no change
Caitlyn,no change
Camille,no change
Cassiopeia,no change
Cho'Gath,no change
Corki,no change
Darius,no change
Diana,no change
Dr. Mundo,no change
Draven,no change
Ekko,no change
Elise,nerf
Evelynn,no change
Ezreal,buff
Fiddlesticks,no change
Fiora,no change
Fizz,no change
Galio,no change
Gangplank,no change
Garen,no change
Gnar,no change
Gragas,no change
Graves,no change
Gwen,no change
Hecarim,no change
Heimerdinger,no change
Illaoi,no change
Irelia,no change
Ivern,nerf
Janna,no change
Jarvan IV,no change
Jax,no change
Jayce,no change
Jhin,no change
Jinx,tweak
Kai'Sa,no change
Kalista,no change
Karma,buff
Karthus,no change
Kassadin,no change
Katarina,no change
Kayle,no change
Kayn,no change
Kennen,no change
Kha'Zix,no change
Kindred,no change
Kled,no change
Kog'Maw,no change
LeBlanc,no change
Lee Sin,no change
Leona,no change
Lillia,no change
Lissandra,no change
Lucian,no change
Lulu,no change
Lux,no change
Malphite,no change
Malzahar,no change
Maokai,no change
Master Yi,no change
Miss Fortune,no change
Mordekaiser,buff
Morgana,no change
Nami,no change
Nasus,no change
Nautilus,no change
Neeko,no change
Nidalee,no change
Nocturne,no change
Nunu,no change
Olaf,nerf
Orianna,no change
Ornn,no change
Pantheon,tweak
Poppy,no change
Pyke,no change
Qiyana,no change
Quinn,no change
Rakan,no change
Rammus,tweak
Rek'Sai,no change
Rell,tweak
Renekton,no change
Rengar,no change
Riven,buff
Rumble,no change
Ryze,no change
Samira,no change
Sejuani,no change
Senna,no change
Seraphine,nerf
Sett,no change
Shaco,no change
Shen,no change
Shyvana,tweak
Singed,buff
Sion,no change
Sivir,no change
Skarner,no change
Sona,no change
Soraka,no change
Swain,no change
Sylas,tweak
Syndra,no change
Tahm Kench,no change
Taliyah,tweak
Talon,no change
Taric,no change
Teemo,no change
Thresh,no change
Tristana,no change
Trundle,no change
Tryndamere,no change
Twisted Fate,no change
Twitch,no change
Udyr,nerf
Urgot,no change
Varus,no change
Vayne,no change
Veigar,no change
Vel'Koz,no change
Vi,no change
Viego,no change
Viktor,no change
Vladimir,buff
Volibear,no change
Warwick,no change
Wukong,no change
Xayah,no change
Xerath,no change
Xin Zhao,no change
Yasuo,no change
Yone,no change
Yorick,no change
Yuumi,no change
Zac,no change
Zed,no change
Ziggs,no change
Zilean,no change
Zoe,no change
Zyra,no change
